Rndrng_NPI,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_Crdntls,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5
1033140850,Howard,Woo,MD,Houma,LA,70363
1033141361,Todd,Sadowski,MD,Hillsboro,OR,97123
1033158209,Alex,Horchak,M.D.,Dubuque,IA,52001
1033165360,Mehrdad,Soroush,M.D.,Bryn Mawr,PA,19010
1033167465,Merle,Wade,MD,Gadsden,AL,35903
1033168802,Michael,Gong,"MD, PHD",Columbus,OH,43210
1033169859,Dinesh,Rao,MD,Ocala,FL,34471
1033169883,Jon,Reckler,MD,New York,NY,10065
1033172648,Edward,Hayes,MD,Dublin,GA,31021
1033179486,Gary,Lemack,MD,Dallas,TX,75390
1033180062,Hernan,Altamar,M.D.,Bethesda,MD,20889
1033182241,Nicolisa,Massie,M.D.,Homewood,AL,35209
1033184700,Matthew,Gretzer,MD,Tucson,AZ,85724
1033185301,Anoop,Sharma,MD,Gilbert,AZ,85295
1033186606,Craig,Spencer,MD,Meridian,ID,83642
1033189196,Manuel,Padron,MD,Coral Gables,FL,33145
1033192901,Moses,Wilcox,MD,Nederland,TX,77627
1033195391,Russell,Freid,MD,Lawrenceville,NJ,08648
1033196423,Alice,Tsao,M.D.,Fresno,CA,93720
1033198072,Nathan,Goldin,M.D.,Suffolk,VA,23435
1033198320,Robert,Shapiro,MD,Oceanside,CA,92056
1033214259,Wilder,Little,MD,Rome,GA,30165
1033217252,James,Eaton,MD,Stockbridge,GA,30281
1033220611,Phillip,Ross,MD,Oakland,CA,94609
1033222906,Jeffrey,Spier,M.D.,El Paso,TX,79912
1033223276,Jonah,Marshall,M.D.,Albany,NY,12208
1033223318,Craig,Nicholson,MD,Lima,OH,45805
1033227426,Peter,Steinberg,MD,Boston,MA,02215
1033230560,Stephanie,Courson Pothoven,DO,Clive,IA,50325
1033230933,Eugene,Lee,M.D.,Kansas City,KS,66160
1033258074,Matthew,Katz,MD,Albuquerque,NM,87106
1033265723,Steven,Kester,MD,Pompano Beach,FL,33060
1033275433,Alexander,Kutikov,MD,Philadelphia,PA,19111
1033279906,David,Burks,M.D.,Jackson,MI,49201
1033284286,Gregory,Knudson,M.D.,Delaware,OH,43015
1033289673,Peter,O'kelly,MD,Florence,SC,29505
1033296520,Eric,Lawatsch,M.D.,Neenah,WI,54956
1033298724,Paul,Lee,MD,Stockton,CA,95204
1033310537,Anthony,Woodruff,M.D.,Mesa,AZ,85206
1033345160,Mukul,Patil,MD,Uniontown,PA,15401
1033351887,Kiranpreet,Khurana,M.D.,Allentown,PA,18103
1033352794,Kevin,Ostrowski,M.D.,Kirkland,WA,98034
1033358510,Joel,Bigley,,Pittsburgh,PA,15232
1033364351,Raymond,Sultan,M.D.,Manhasset,NY,11030
1033374525,Millie,Erickson,M.D.,North Platte,NE,69101
1033377403,Michael,Abern,M.D.,Chicago,IL,60612
1033378344,Akinwunmi,Ojo-Carons,M.D.,Suffolk,VA,23435
1033379607,Dock,Winston,"M.D., M.P.H.",Washington,DC,20002
1033381108,John,Riordan,M.D.,Martinsburg,WV,25401
1033387345,Monish,Aron,MD,Los Angeles,CA,90033
1033401625,Nahomy,Calixte,MD,Clermont,FL,34714
1033401997,Rishi,Modh,M.D.,St Petersburg,FL,33710
1033404629,Peter,Hinh,MD,Houston,TX,77004
1033414834,Hak,Lee,MD,Calhoun,GA,30701
1033474838,Claudio,Romero,M.D.,Winter Haven,FL,33880
1033476551,Ted,Ritchie,M.D.,Frisco,TX,75035
1033485347,Chad,Morley,MD,Morgantown,WV,26506
1033499116,Riccardo,Autorino,MD,Chicago,IL,60612
1033505896,Nabeel,Shakir,MD,Detroit,MI,48202
1033505995,Kara,Choate,M.D.,Irving,TX,75061
1033506720,Benjamin,Mccormick,,Salt Lake City,UT,84132
1033522842,Michael,Glamore,M.D.,Saint Louis,MO,63110
1033523808,Claire,Aubrey,D.O,Fort Wayne,IN,46825
1033524582,Logan,Mcguffey,MD,Lincoln,NE,68516
1033524640,Jennifer,Dwyer,M.D.,Omaha,NE,68198
1033546122,David,Kraklau,M.D.,Saint Joseph,MI,49085
1033552799,Andrew,Pridjian,MD,Atlanta,GA,30342
1033553409,Andrew,Sun,M.D.,Arlington,TX,76017
1033573274,Jesus,Herrera-Murillo,MD,El Paso,TX,79912
1033596622,Michael,Biles,M.D.,Annapolis,MD,21401
1033614110,Matthew,Newsome,MD,Rock Hill,SC,29732
1033615695,Pedro,Espino-Grosso,MD,Coral Springs,FL,33076
1033616909,Kyle,Waisanen,MD,Fort Myers,FL,33905
1033630173,Luke,Wang,MD,San Diego,CA,92103
1043203771,Daniel,Brown,M.D.,Olympia,WA,98502
1043205164,Mark,Byard,MD,Dothan,AL,36305
1043205867,Frederic,Levine,M.D.,Willoughby,OH,44094
1043206436,Scott,Thurman,MD,Fort Worth,TX,76132
1043207871,Jin-Hee,Kim,MD,Portland,OR,97216
1043213929,Ali,Sarram,MD,Parker,CO,80134
1043215320,Alexander,Marinbakh,M.D.,Brooklyn,NY,11235
1043218357,Bryan,Hoff,MD,Bloomington,IN,47403
1043219546,Larry,Siref,M.D.,Omaha,NE,68124
1043235138,John,Valvo,MD,Rochester,NY,14609
1043248206,Robert,Thompson,MD,Baltimore,MD,21202
1043248867,Benjamin,Leak,M.D.,Bloomington,IL,61701
1043254469,Eric,Mitchnick,MD,Port Jefferson Station,NY,11776
1043260219,Noel,Armenakas,MD,New York,NY,10022
1043260698,Matthew,Christian,M.D.,Chillicothe,OH,45601
1043261548,Emanuel,Gottenger,M.D.,Delray Beach,FL,33484
1043264484,Alden,Reine,MD,Lincolnton,NC,28092
1043265747,Po,Lam,MD,Syracuse,NY,13210
1043268329,Robert,Seo,MD,Naperville,IL,60540
1043269368,Christopher,Woodard,M.D.,Lancaster,PA,17601
1043271497,James,Morris,M.D.,Baton Rouge,LA,70808
1043274152,Ketan,Kapadia,M.D.,St Petersburg,FL,33710
1043274699,Sean,Hedican,MD,Fond Du Lac,WI,54935
1043275019,John,Harding,MD,Utica,MI,48317
1043287980,Michael,Ellen,M.D.,Mount Pleasant,WI,53406
1043296841,David,Patterson,M.D.,Rochester,MN,55905
1043299985,Paulos,Yohannes,MD,Naples,FL,34109
1043302383,Barry,Blitz,MD,Fort Myers,FL,33908
1043302748,John,Kabalin,M.D.,Scottsbluff,NE,69361
1043305972,Vijay,Goli,M.D.,Las Vegas,NV,89113
1043320005,James,Brooks,MD,Stanford,CA,94305
1043344005,Richard,Windsor,MD,Green Bay,WI,54311
1043387913,Reynaldo,Hernandez,MD,Baldwin Park,CA,91706
1043388481,Natakom,Chulamorkodt,MD,Yuma,AZ,85364
1043399322,Herbert,Watkins,MD,Houston,TX,77015
1043416506,Shawn,Thomas,D.O.,Daytona Beach,FL,32114
1043419872,Nathaniel,Ballek,M.D.,Overland Park,KS,66215
1043427438,Samuel,Snipes,"M.D,",Manchester,NH,03103
1043439920,Bryan,Bruner,MD,Grapevine,TX,76051
1043451073,Ryan,Hsi,M.D.,Nashville,TN,37232
1043452287,Samuel,Ohlander,M.D.,Chicago,IL,60612
1043461064,Brian,Stisser,MD,Fishersville,VA,22939
1043463029,William,Rogers,M.D.,Johnson City,TN,37604
1043464704,Sandy,Nosseir,MD,Marlton,NJ,08053
1043466931,Timothy,Ruddell,M.D.,College Station,TX,77845
1043467038,Gaspar,Msangi,M.D.,Marietta,GA,30060
1043474919,Bahaa,Malaeb,M.D.,Ann Arbor,MI,48109
1043476898,Adrienne,Heckler,MD,Vancouver,WA,98686
1043477334,Lori,Dulabon,DO,Erie,PA,16509
1043507866,Luke,Frederick,MD,Rockford,IL,61107
1043539729,Eugene,Pietzak,MD,Philadelphia,PA,19104
